<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20230514,143400.00,144000.00,141500.00,142799.00,650932473493,4558387,2009,D,143206.00,142001.00
Kian.Gold.ETF,20230513,144777.00,145000.00,141011.00,143206.00,287928235941,2010589,1301,D,145836.00,142403.00
Kian.Gold.ETF,20230510,148500.00,148500.00,144811.00,145836.00,209160949014,1434217,1417,D,148913.00,144826.00
Kian.Gold.ETF,20230509,148320.00,149900.00,147501.00,148913.00,239917654924,1611130,1592,D,146728.00,147935.00
Kian.Gold.ETF,20230508,146200.00,149999.00,144350.00,146728.00,1017223963713,6932729,2655,D,147935.00,147683.00
Kian.Gold.ETF,20230507,151800.00,152000.00,145560.00,147935.00,309230236315,2090314,1915,D,153138.00,146400.00
Kian.Gold.ETF,20230506,153600.00,154900.00,152600.00,153138.00,291599094812,1904162,2035,D,154140.00,153000.00
Kian.Gold.ETF,20230503,153000.00,155994.00,152011.00,154140.00,433191104804,2810380,2193,D,156182.00,155879.00
Kian.Gold.ETF,20230502,158700.00,158700.00,155000.00,156182.00,602136275724,3855343,2653,D,160024.00,155300.00
Kian.Gold.ETF,20230501,162610.00,164444.00,157210.00,160024.00,1427009578079,8917485,4744,D,159331.00,158701.00
Kian.Gold.ETF,20230430,156248.00,161395.00,155300.00,159331.00,482588797377,3028836,2654,D,153570.00,161100.00
Kian.Gold.ETF,20230429,152510.00,155900.00,151000.00,153570.00,1158858983979,7546148,3095,D,144459.00,155400.00
Kian.Gold.ETF,20230426,141950.00,148500.00,141500.00,144459.00,759317321453,5256300,2433,D,141329.00,147181.00
Kian.Gold.ETF,20230425,141680.00,141998.00,141000.00,141329.00,470132248156,3326518,1025,D,141339.00,141301.00
Kian.Gold.ETF,20230424,142448.00,142448.00,140504.00,141339.00,197082858879,1394396,1282,D,141576.00,141520.00
Kian.Gold.ETF,20230419,141000.00,142000.00,141000.00,141576.00,223636270267,1579624,1203,D,140853.00,141660.00
Kian.Gold.ETF,20230418,140926.00,141799.00,140013.00,140853.00,295708670733,2099414,1187,D,140474.00,140830.00
Kian.Gold.ETF,20230417,141000.00,141796.00,139600.00,140474.00,879636257269,6261920,1494,D,138659.00,141000.00
Kian.Gold.ETF,20230416,138952.00,139350.00,138000.00,138659.00,114500089942,825765,1092,D,139528.00,139270.00
Kian.Gold.ETF,20230415,141140.00,141140.00,138565.00,139528.00,148140216021,1061723,1783,D,141141.00,139423.00
Kian.Gold.ETF,20230411,140494.00,141899.00,140010.00,141141.00,171586597075,1215711,1157,D,137029.00,140691.00
Kian.Gold.ETF,20230410,137200.00,137800.00,136030.00,137029.00,384587756046,2806614,1604,D,141059.00,137690.00
